Name            latitude     longitude          g/m2
NGRIP2          317.7000       75.1000   0.00000e+00
GISP2           321.5000       72.6000   0.00000e+00
RECAP           333.3000       71.3000   0.00000e+00
Tunu2022        326.1000       78.0000   0.00000e+00
H. Tausen       322.0000        0.0000   0.00000e+00
NEEM            308.9000       82.5000   0.00000e+00
DYE3            316.2000       77.5000   0.00000e+00
Ak Nauk          94.8000       65.2000   0.00000e+00
Mt. Logan       219.5000       80.6000   1.59653e-02
